name,code,sort_order
Bachelor of Business Science: Actuarial Science,,0
Bachelor of Business Science: Finance,,1
Bachelor of Business Science: Financial Engineering,,2
Chartered Financial Analyst (CFA),,3
Master of Science in Biomathematics,,4
Master of Science in Development Finance,,5
Master of Science in Development Finance (MDF),,6
Master of Science in Mathematical Finance,,7
Master of Science in Statistical Science,,8
Bachelor of Laws,,9
Master of Laws,,10
Advanced Management Program (AMP),,11
Advisory Board Member,,12
Bachelor of Commerce,,13
Bachelor of Financial Services,,14
Bachelor of Science in Leadership and Management,,15
Bachelor of Science in Supply Chain and Operations Management,,16
Bio-Entrepreneurship Executive Program,,17
Diploma in Business Creation and Entrepreneurship,,18
Diploma in Business Management,,19
Diploma in Leadership and Management,,20
Diploma in Procurement,,21
Enterprise Development Programme (EDP),,22
Executive Coaching for Managers,,23
Executive Healthcare Management Program (EHMP),,24
Family Business Executive Programme (FBEP),,25
Grants Management Program,,26
Leading High-Performing Healthcare Organisations (LeHHO),,27
Leading the Board (LTB),,28
Managing Healthcare Businesses (MHB),,29
Master of Business Administration,,30
Master of Business Administration - Healthcare Management,,31
Master of Business Administration (Modular),,32
Master of Commerce,,33
Master of Management in Agribusiness,,34
Master of Management in Agribusiness (MMA),,35
Master of Science in Education Management,,36
MBA for Executive (E MBA),,37
MBA in Healthcare Management (MBA HCM),,38
Modular MBA,,39
New Managers Leadership Programme (NMLP),,40
Owner Manager Program (OMP),,41
Part-time MBA,,42
Post Experience Diploma in Educational Management,,43
Postgraduate Diploma in Educational Management,,44
Project Management Professional (PMP),,45
Senior Management Leadership Program (SMLP),,46
Teacher Enhancement Programme (TEP),,47
The Effective Director (TED),,48
Women Directors Leadership Summit (WDLS),,49
Women in Leadership Programme (WIL),,50
Bachelor of Business Information Technology,,51
Bachelor of Science in Electrical and Electronic Engineering,,52
Bachelor of Science in Informatics and Computer Science,,53
Bachelor of Science in Telecommunications,,54
Certified Information Security Manager (CISM),,55
Certified Information Systems Auditor (CISA),,56
Master of Science in Computing and Information Systems,,57
Master of Science in Information Systems Security (Msc ISS),,58
Master of Science in Information Technology,,59
Master of Science in Mobile Telecommunications and Innovation,,60
Bachelor of Science in Hospitality and Hotel Management,,61
Bachelor of Science in Tourism Management,,62
Bachelor of Arts in Communication,,63
Bachelor of Arts in Communication (Journalism and Public Relations),,64
Bachelor of Arts in Development Studies and Philosophy,,65
Bachelor of Arts in International Studies,,66
Diploma in International Relations,,67
Diploma in Journalism and New Media,,68
Master in Public Policy and Management (MPPM),,69
Master of Applied Philosophy and Ethics,,70
Master of Public Policy and Management,,71
Certificate in Secretarial Studies,,72
CERTIFICATE IN COMPUTER APPLICATION {CCA},,73
Diploma in Business Information Technology,,74
Diploma in Secretarial Studies,,75
INTERNATIONAL COMPUTER DRIVING LICENSE (ICDL),,76
Association of Chartered Certified Accountants (ACCA),,77
Certified Public Accountants (CPA),,78
Chartered Institute of Marketing (CIM),,79
Microfinance Diploma,,80
